"species","decimalLongitude","decimalLatitude"
"Dictyopteris jolyana",-38.558611,-13.576944
"Dictyopteris jolyana",-39.092778,-15.324444
"Dictyopteris jolyana",-38.224444,-13.321944
"Dictyopteris jolyana",-38.240833,-12.791667
"Dictyopteris jolyana",-38.333611,-13.425278
"Dictyopteris jolyana",-35.39,-9.3
"Dictyopteris jolyana",-35.39,-9.3
"Dictyopteris jolyana",-35.39,-9.3
"Dictyopteris jolyana",-35.39,-9.3
"Dictyopteris jolyana",-38.173889,-13.285556
"Dictyopteris jolyana",-38.604167,-13.603611
"Dictyopteris jolyana",-35.543611,-9.473889
"Dictyopteris jolyana",-38.173889,-13.285556
"Dictyopteris jolyana",-35.217778,-9.013611
"Dictyopteris jolyana",-36.134722,-10.160833
"Dictyopteris jolyana",-35.217778,-9.013611
"Dictyopteris jolyana",-35.543611,-9.473889
"Dictyopteris jolyana",-36.134722,-10.160833
"Dictyopteris jolyana",-38.201667,-13.559167
"Dictyopteris jolyana",-38.912778,-13.676667
"Dictyopteris jolyana",-35.331389,-7.555278
"Dictyopteris jolyana",-40.68333,-21.03333
"Dictyopteris jolyana",-38.188889,-12.839167
"Dictyopteris jolyana",-38.85,-17.993611
"Dictyopteris jolyana",-75.0106,18.3913
"Dictyopteris jolyana",-75.0106,18.3913
"Dictyopteris jolyana",-71.652,17.4735
"Dictyopteris jolyana",-71.652,17.4735
"Dictyopteris jolyana",-61.5033,16.487
"Dictyopteris jolyana",-62.9907,18.1148
"Dictyopteris jolyana",-62.8718,17.925
"Dictyopteris jolyana",-62.8718,17.925
"Dictyopteris jolyana",-62.9907,18.1148
"Dictyopteris jolyana",-61.5033,16.487
"Dictyopteris jolyana",0,0
"Dictyopteris jolyana",-60.85,14.4367
"Dictyopteris jolyana",-60.85,14.4367
"Dictyopteris jolyana",-60.85,14.4367
"Dictyopteris jolyana",0,0
"Dictyopteris jolyana",-35.670833,-9.581944
"Dictyopteris jolyana",-35.670833,-9.581944
"Dictyopteris jolyana",0,0
"Dictyopteris jolyana",0,0
"Dictyopteris jolyana",0,0
"Dictyopteris jolyana",-40.195188,-20.194456
"Dictyopteris jolyana",-35.670833,-9.581944
"Dictyopteris jolyana",-39.383333,-19.3
"Dictyopteris jolyana",-40.45,-20.9
"Dictyopteris jolyana",-40.516667,-21.233333
"Dictyopteris jolyana",-40.4,-21.984722
"Dictyopteris jolyana",-35.670833,-9.581944
"Dictyopteris jolyana",-39.1,-19.1
"Dictyopteris jolyana",-34.916667,-6.433333
"Dictyopteris jolyana",-34.85,-6.483333
"Dictyopteris jolyana",-34.85,-6.483333
"Dictyopteris jolyana",-35.018056,-5.484722
"Dictyopteris jolyana",-35.066667,-5.466667
"Dictyopteris jolyana",-35.068056,-5.484722
"Dictyopteris jolyana",-35.183333,-5.151389
"Dictyopteris jolyana",-35.166667,-5.183333
"Dictyopteris jolyana",-35.183333,-5.151389
"Dictyopteris jolyana",-35.066667,-5.466667
"Dictyopteris jolyana",-35.084722,-5.618056
"Dictyopteris jolyana",-35.084722,-5.618056
"Dictyopteris jolyana",-34.884167,-8.133611
"Dictyopteris jolyana",-35.884167,-9.133611
"Dictyopteris jolyana",0,0
"Dictyopteris jolyana",-34.8675,-8.135833
"Dictyopteris jolyana",-40.578294,-19.618978
"Dictyopteris jolyana",0,0
